,入口站,货物/农机具名称,总重量,总次数
266,山东省山东东明北站,丝瓜,943.39,96
188,河南省河南滑县,丝瓜,1210.17,161
58,广西壮族自治区广西全州站,冬瓜,2669.31,55
105,河北省河北清苑站,冬瓜,1851.65,123
94,广西壮族自治区广西上林站,冬瓜,1980.54,41
145,广西壮族自治区广西黄沙河,冬瓜,1489.12,31
45,广西壮族自治区广西坛洛站,冬瓜,3351.78,70
243,湖南省湖南君山站,南瓜,1021.79,54
84,广西壮族自治区广西全州站,南瓜,2185.33,48
49,广西壮族自治区广西坛洛站,南瓜,3237.52,70
211,广西壮族自治区广西黄沙河,南瓜,1127.5,26
206,湖北省湖北潘家湾站,南瓜,1141.39,46
273,宁夏回族自治区宁夏甘塘收费站,哈密瓜,930.15,25
209,山东省山东昌乐站,哈密瓜,1133.08,66
287,甘肃省甘肃武威南收费站,哈密瓜,896.54,24
0,甘肃省甘肃柳园北收费站,哈密瓜,19564.8,426
78,甘肃省甘肃关子收费站,四季豆,2268.97,85
295,河北省河北郭磊庄站,大白菜,883.91,30
218,甘肃省甘肃关子收费站,大白菜,1095.39,37
202,河北省河北沽源西站,大白菜,1158.29,53
10,河北省河北张北北站,大白菜,6159.41,209
61,河北省河北察北站,大白菜,2620.28,142
29,河北省河北张北南站,大白菜,4490.88,162
111,山西省山西长治南站,大白菜,1805.11,158
120,河北省河北半拉山站,大白菜,1725.34,90
95,河北省河北郝家营站,大白菜,1956.47,107
115,山西省山西上党站,大白菜,1763.13,150
237,山东省山东阳河站,大葱,1028.12,35
238,山东省山东何官站,大葱,1027.6,33
226,山东省山东沂山站,大葱,1066.34,43
32,山东省山东临淄东站,大葱,3926.56,151
47,河北省河北大名北站,大蒜,3329.2,198
83,河南省河南卫辉,大蒜,2188.74,196
55,河南省河南慈周寨,大蒜,2919.51,242
88,江苏省江苏八义集站,大蒜,2098.63,52
56,河南省河南尉氏,大蒜,2855.86,212
73,河南省河南通许,大蒜,2455.96,218
138,河南省河南原阳,大蒜,1521.64,150
64,山东省山东菏泽南站,大蒜,2558.76,129
229,河南省河南通许南,大蒜,1053.86,92
96,河南省河南平原新区东站,大蒜,1955.37,202
193,河南省河南兰考,大蒜,1195.87,64
89,河南省河南滑县牛屯,大蒜,2051.54,166
255,河南省河南滑县,大蒜,965.66,76
79,河南省河南荥阳,大蒜,2266.9,203
50,河南省河南封丘,大蒜,3227.41,308
161,河南省河南长垣,大蒜,1385.38,123
13,河北省河北金滩镇站,大蒜,5685.87,347
20,河南省河南通许东,大蒜,5048.84,316
288,河南省河南延津,大蒜,892.68,78
37,河南省河南杞县,大蒜,3629.65,239
110,河南省河南临颍站,大蒜,1812.52,146
36,河南省河南开封陈留,大蒜,3677.42,307
51,河北省河北木门店站,"新鲜的家禽肉
和家畜肉",3174.33,334
131,河南省河南浚县西,"新鲜的家禽肉
和家畜肉",1596.69,65
186,河南省河南慈周寨,新鲜的鸡蛋,1233.08,147
114,河南省河南鹤壁南,新鲜的鸡蛋,1794.59,179
93,河南省河南濮阳南,新鲜的鸡蛋,2018.86,146
147,河南省河南堌阳,新鲜的鸡蛋,1471.25,158
75,云南省云南大营站,普通白菜,2360.01,53
46,河南省河南民权,普通白菜,3334.12,395
60,湖北省湖北武昌站,木瓜,2643.62,90
232,河南省河南晁陂,李,1045.02,84
264,河南省河南丹水,李,949.98,75
28,河南省河南内乡,李,4593.01,367
205,甘肃省甘肃柳园北收费站,杏,1142.67,39
194,山西省山西临猗西站,枣,1183.56,135
285,福建省福建平和三平站,柚,901.25,32
53,四川省四川内遂安岳站,柠檬,3035.74,89
216,河南省河南三门峡西,桃,1099.22,54
159,山西省山西芮城东站,桃,1394.03,73
